species_combo,cross_type,div_time_mya,div_time_mya_adjusted,div_time_mgens,div_time_mgens_adjusted,div_time_mgens_nocons,F1_RI,F2_RI,premating_RI,prezyg_RI,postzyg_RI,terminal_stage,fertility_f,fertility_m,F1_stage
kamaaina-yunquensis,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,,,,ambig_emb,,,3.5
latens-remanei,heterospecific,4.963,4.963,49.63,49.63,49.63,0.445,0.949,0,0,0.445,adult,0,0.083,0
macrosperma-afra,heterospecific,49.206,49.206,492.06,492.06,492.06,1,1,,,,ambig_emb,,,3.5
macrosperma-becei,heterospecific,38.685,38.685,386.85,386.85,386.85,1,1,,1,,no fert,,,4
macrosperma-brenneri,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,,,,ambig_emb,,,3.5
macrosperma-briggsae,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,,,,ambig_emb,,,3.5
macrosperma-doughertyi,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,,,,ambig_emb,,,3.5
macrosperma-elegans,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,,,,ambig_emb,,,3.5
macrosperma-imperialis,heterospecific,56.779,56.779,567.79,567.79,567.79,1,1,,,,ambig_emb,,,3.5
macrosperma-kamaaina,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,,,,ambig_emb,,,3.5
macrosperma-nigoni,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,,,,ambig_emb,,,3.5
macrosperma-nouraguensis,heterospecific,38.685,38.685,386.85,386.85,386.85,1,1,,,,ambig_emb,,,3.5
macrosperma-panamensis,heterospecific,38.685,38.685,386.85,386.85,386.85,1,1,,1,,no fert,,,4
macrosperma-remanei,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,,,,ambig_emb,,,3.5
macrosperma-sinica,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,,,,ambig_emb,,,3.5
macrosperma-tropicalis,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,,,,ambig_emb,,,3.5
macrosperma-waitukubuli,heterospecific,38.685,38.685,386.85,386.85,386.85,1,1,,1,,no fert,,,4
macrosperma-wallacei,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,,,,ambig_emb,,,3.5
macrosperma-yunquensis,heterospecific,38.685,38.685,386.85,386.85,386.85,1,1,,,,ambig_emb,,,3.5
nigoni-brenneri,heterospecific,47.288,47.288,472.88,472.88,472.88,1,1,0,0.5,,ambig_emb,,,3.5
nigoni-briggsae,heterospecific,5.705,5.705,57.05,57.05,57.05,0.711,1,0,0,0.711,sterile_adult,0.66,1,0
nigoni-doughertyi,heterospecific,47.288,47.288,472.88,472.88,472.88,1,1,0,0,1,emb,,,3
